Data Type:                         High Resolution Sounding
Project ID:                        BAMEX
Release Site Type/Site ID:         Mobile, BX2 BAMEX, GLASS 2.40
Release Location (lon,lat,alt):    095 51.24'W, 40 13.98'N, -95.854, 40.233, 323.0
UTC Release Time (y,m,d,h,m,s):    2003, 06, 10, 05:56:00
Sonde Type/ID/Sensor ID/Tx Freq:   NCAR GLASS RS80-15GH VAISALA
System Operator/Comments:          Cody,10,mi S of Auburn, lost sig at 250 mb
Radiosonde Serial Number:          313104509
Input File:                        D200306100556QC.cls
/
/
Nominal Release Time (y,m,d,h,m,s):2003, 06, 10, 05:56:00
 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azim   Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
  -1.0  966.6  19.5  13.9  69.5   -1.8   -5.4   5.7  18.0 999.0  -95.854  40.233 999.0 999.0   323.0 99.0 99.0 99.0 99.0 99.0  9.0
   0.0 9999.0  19.5  13.9  69.7 9999.0 9999.0 999.0 999.0 999.0 9999.000 999.000 999.0 999.0 99999.0  9.0 99.0 99.0  9.0  9.0  9.0
   1.0  966.2  19.5  13.9  69.7 9999.0 9999.0 999.0 999.0 999.0 9999.000 999.000 999.0 999.0   326.5 99.0 99.0 99.0  9.0  9.0  9.0
   2.0  965.8  19.5  13.9  69.7 9999.0 9999.0 999.0 999.0   4.0 9999.000 999.000 999.0 999.0   330.5 99.0 99.0 99.0  9.0  9.0 99.0
   3.0  965.3  19.5  13.9  69.6 9999.0 9999.0 999.0 999.0   4.0 9999.000 999.000 999.0 999.0   334.5 99.0 99.0 99.0  9.0  9.0 99.0
   4.0  964.9  19.5  13.9  69.6 9999.0 9999.0 999.0 999.0   4.1 9999.000 999.000 999.0 999.0   338.6 99.0 99.0 99.0  9.0  9.0 99.0
   5.0  964.4  19.5  13.9  69.6 9999.0 9999.0 999.0 999.0   3.9 9999.000 999.000 999.0 999.0   342.5 99.0 99.0 99.0  9.0  9.0 99.0
   6.0  964.0  19.5  13.9  69.6 9999.0 9999.0 999.0 999.0   4.0 9999.000 999.000 999.0 999.0   346.5 99.0 99.0 99.0  9.0  9.0 99.0
