Data Type:                         High Resolution Sounding
Project ID:                        BAMEX
Release Site Type/Site ID:         Mobile, BX2 BAMEX, GLASS 2.40
Release Location (lon,lat,alt):    095 51.24'W, 40 13.98'N, -95.854, 40.233, 323.0
UTC Release Time (y,m,d,h,m,s):    2003, 06, 10, 04:03:03
Sonde Type/ID/Sensor ID/Tx Freq:   NCAR GLASS RS80-15GH VAISALA
System Operator/Comments:          Cody,10,mi S of Auburn. good flight term at 148 mb
Radiosonde Serial Number:          313103706
Input File:                        D200306100403QC.cls
/
/
Nominal Release Time (y,m,d,h,m,s):2003, 06, 10, 04:03:03
 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   Azim   Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   deg     m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
  -1.0  965.7  23.2  14.1  56.2    1.3    6.1   6.2 192.0 999.0  -95.854  40.233 999.0 999.0   323.0  2.0  2.0  2.0 99.0 99.0  9.0
   0.0  964.5  23.3  13.9  55.2 9999.0 9999.0 999.0 999.0 999.0 9999.000 999.000 999.0 999.0   333.6  3.0  2.0  2.0  9.0  9.0  9.0
   1.0  964.1  23.3  13.9  55.1 9999.0 9999.0 999.0 999.0   3.4 9999.000 999.000 999.0 999.0   337.0  3.0 99.0 99.0  9.0  9.0 99.0
   2.0  963.8  23.3  13.9  55.0 9999.0 9999.0 999.0 999.0   3.5 9999.000 999.000 999.0 999.0   340.5 99.0 99.0 99.0  9.0  9.0 99.0
   3.0  963.4  23.3  13.9  54.9 9999.0 9999.0 999.0 999.0   3.3 9999.000 999.000 999.0 999.0   343.8 99.0 99.0 99.0  9.0  9.0 99.0
   4.0  963.0  23.3  13.9  54.8 9999.0 9999.0 999.0 999.0   3.2 9999.000 999.000 999.0 999.0   347.0 99.0 99.0 99.0  9.0  9.0 99.0
   5.0  962.7  23.3  13.9  54.7 9999.0 9999.0 999.0 999.0   3.1 9999.000 999.000 999.0 999.0   350.1 99.0 99.0 99.0  9.0  9.0 99.0
   6.0  962.4  23.3  13.8  54.6 9999.0 9999.0 999.0 999.0   2.8 9999.000 999.000 999.0 999.0   352.9 99.0 99.0 99.0  9.0  9.0 99.0
